skill,tech_level_required,specialization_required,description,defaults,difficulty,attribute,modifiers
Diplomacy,,,"This is the skill of negotiating, compromising, and getting along with others. You may substitute a Diplomacy roll for any reaction roll in a noncombat situation, as described under Influence Rolls (p. 359). 

Unlike other Influence skills, Diplomacy never gives a worse result than if you had tried an ordinary reaction roll. Failure with Fast-Talk or Sex Appeal alienates the subject, but Diplomacy is usually safe. 

A successful roll also allows you to predict the possible outcome of a course of action when you are negotiating, or to choose the best approach to take. 

If you know Diplomacy at level 20 or better, you get a +2 bonus on all reaction rolls! ","IQ-6, or Politics-6.",Hard,Intelligence,+2 for Voice (p. 97); -3 for Low Empathy (p. 142); -1 for Oblivious (p. 146); -1 to -4 for Shyness (p. 154); -2 for Stuttering (p. 157).
Disguise,TRUE,TRUE,"This is the art of altering your appearance using clothing, makeup, and prosthetics. You do not need this skill to don a quick disguise – e.g., to put on a lab coat when you enter a laboratory – but such disguises only fool the inattentive! A good disguise requires a Disguise roll and 30 minutes to an hour of preparation. 

Roll a Quick Contest of Disguise skill vs. the Perception of each person your disguise must fool. Individuals with Criminology or Observation skill may substitute those skills for Perception when rolling to penetrate a disguise. The GM may allow other skills to be of use – for instance, Physician skill might help spot a rubber nose. 

When combining Acting (p. 174) with Disguise (that is, when you must change your face and your personality), you need only make one roll for each person or group – but it must be the harder of the two rolls. 

If there is more than one sapient species in your world, you must specialize by race – Disguise (Human) is nothing like Disguise (Bug-Eyed Monster). Disguise specialized in your own species is the most common form; just list this as “Disguise” on your character sheet. Disguise skills for physically similar species default to one another at -2 to -4. 


You can also learn Disguise (Animals) to deceive nonsapient creatures. This involves wearing animal skins, smearing your body with musk or dung, etc. There is no default between this and other Disguise specialties. Use the modifiers below the regular modifiers. ","IQ-5, or Makeup-3.",Average,Intelligence,"Equipment modifiers (p. 345). +4 for Elastic Skin (p. 51). You are at -1 to -5 to disguise yourself as someone very different from you (GM’s discretion). Distinctive appearance also gives a penalty – see Build (p. 18), Unnatural Features (p. 22), and specific disadvantages (e.g., Hunchback, p. 139) for details. Differences in Size Modifier usually make Disguise impossible. 


Disguise(Animals) Modifiers: +2 if approaching from downwind; -1 for each animal over one of the same type being approached (-1 for every 10 in the case of herd animals); -1 to -3 if the skins are old or in poor condition. Make a Naturalist roll to recall the habits of the animal being imitated; success gives +1 to +3, while failure gives -1 to -3"
Diving Suit,TRUE,,"This is training in the use of a specific class of protective suit. Suits designed to shield the wearer from environmental or battlefield hazards frequently incorporate gadgets (such as autoinjectors and sensors) and life-support equipment. Some suits even contain motors to enhance ST or Move. As a result, you do not merely wear such gear – you operate it. 

Roll against Environment Suit skill to get into or out of your suit quickly. A successful roll halves the time required. To activate a specific subsystem of a suit, or to gauge whether a suit is in good repair, make an IQ-based skill roll instead. 

When rolling against DX or any DX-based skill while suited up, use the lower of your Environment Suit skill and your actual skill level. For instance, if you have DX 14, Stealth15, and Vacc Suit-13, you will function at DX 13 and Stealth-13 while wearing a spacesuit. Particularly ungainly suits might give -1 or more to DX on top of this, regardless of skill level. On the other hand, some sleek, ultra-tech suits might not limit skills at all! 

Diving Suit/TL: All types of hard diving suits (as opposed to the wetsuits and drysuits used with Scuba skill). This includes “open dress” gear at TL5 and “hard hat” gear at TL6, both of which use a sealed helmet and supplied air, but not always a full, sealed suit. At TL7+, this skill covers true underwater “hardsuits.” The GM may require Swimming rolls to maneuver while wearing such a suit. Default: Scuba-2. ","DX-5, Battlesuit-4, NBC Suit-4, Vacc Suit-4. ",Average,Dexterity,
Dreaming,,,"This is the skill of controlling and remembering your dreams. A successful skill roll lets you experience vivid dreams about a subject of your choosing. Use the Fortune-Telling (Dream Interpretation) skill to interpret your dreams. In some game worlds, this might be a useful divinatory technique (GM’s decision). 

A Dreaming roll can also help you recall a previously forgotten piece of information, or something you witnessed but did not consciously note. This technique is much less reliable than Eidetic Memory (p. 51), though. The GM will describe your dreams to you, working clues into the narrative. It is up to you, the player, to spot these hints! 

Finally, you can use this skill to combat malign supernatural influences on your dreams. Resolve this as a Quick Contest between your Dreaming skill and your harasser’s skill at dream control. If you win, you shut out the external influence.",Will-6,Hard,Willpower,
Driving,TRUE,TRUE,"This is the ability to drive a specific type of ground vehicle. 

Make an IQ-based Driving roll for basic map reading, to diagnose simple malfunctions, or to recall rules of the road. 

You must specialize: 

Automobile: Any vehicle with three or more wheels that weighs less than 5 tons and does not move on rails. Defaults: Heavy Wheeled-2 or other Driving at -4. 

Construction Equipment: Any kind of bulldozer, crane, plow, etc. Default: other Driving at -5. 

Halftrack: Any vehicle that moves on tracks and either wheels or skids. Defaults: Tracked-2 or other Driving at -4. 

Heavy Wheeled: Any vehicle with three or more wheels that weighs 5 tons or more and does not move on rails. Defaults: Automobile-2 or other Driving at -4. 

Hovercraft: Any kind of air-cushion vehicle. Default: other Driving at -5. 

Locomotive: Any vehicle that moves on conventional or maglev rails. Default: other Driving at -5. 

Mecha: Any kind of legged, bouncing, rolling, or slithering vehicle. Defaults: Battlesuit-3 or other Driving at -5. 

Motorcycle: Any powered one- or two-wheeled vehicle, including those with sidecars. Large motorcycles often have a Minimum ST, just like a weapon (see p. 270). Default: Bicycling-4. 

Tracked: Any vehicle that moves on tracks. Defaults: Halftrack-2 or other Driving at -4. 

Note that the ability to “drive” a team of animals is not Driving, but Teamster (p. 225). 
",DX-5 or IQ-5,Average,Dexterity,"-2 or more for bad driving conditions; -2 or more for a vehicle in bad repair; -2 for an unfamiliar control system (e.g., an automatic when you are used to a manual); -4 or more for a vehicle of an unfamiliar type within your specialty (e.g., a race car when you are used to stock cars)."
Dropping,,,"This is the skill of dropping heavy objects on your foes while flying. Treat this as a ranged attack made from above. Learn Dropping if you wish to drop boulders and similar projectiles on individual opponents while on the wing. Use Artillery (Bombs) to attack areas with explosive ordnance, etc.",DX-3 or Throwing-4,Average,Dexterity,
Economics,,,"This is the study of the theory of money, markets, and financial systems. It is mainly an academic skill, but a successful skill roll allows you to predict the economic impact of events in the game world: the assassination of a political figure, the demolition of a power plant, the introduction of a new invention, etc. Adventurers with intelligence and military backgrounds frequently have some training in this skill.","IQ-6, Finance-3, Market Analysis-5, or Merchant-6.",Hard,Intelligence,
Electrician,TRUE,,"This is the skill of building, maintaining, and repairing electrical systems. Make a skill roll to diagnose an electrical fault, wire a building or vehicle, etc. Adventuring uses include damage control in combat (e.g., to restore power to a damaged vehicle system) and cutting the power to a building prior to clandestine activities. Note that electrical and electronic systems are not the same thing. The equivalent skill for electronics is Electronics Repair (p. 190). ",IQ-5 or Engineer(Electrical)-3,Average,Intelligence,Equipment modifiers (p. 345).
Electronics Operation,TRUE,TRUE,"This skill lets you use all electronic equipment within a known specialty. Make a skill roll in an emergency situation or for “abnormal” use of equipment – not for ordinary, everyday use. (Exception: Unskilled users must always attempt their default roll!) 

You must specialize. Available specialties vary by game world, but might include: 

Communications (Comm): All forms of electronic communications technology: radios, satellite uplinks, laser communicators, etc. Includes knowledge of any standard, current communications codes appropriate to your background. These do not require a skill roll – although attempts to understand or use an unfamiliar code do require a roll. At TL5-7, this includes telegraphy: you can send or receive 2 words per minute (wpm) per point of skill at TL5, 3 wpm per point of skill at TL6-7. 

Electronic Warfare (EW): All signals-intelligence and jamming equipment, including electronic countermeasures (ECM) and electronic counter-countermeasures (ECCM). In most game worlds, only intelligence agencies and the military teach this specialty – and only to individuals with suitable Military Rank (p. 30) or Security Clearance (p. 82). 

Force Shields: Portable, vehicular, base, and starship force shields and deflectors. 

Matter Transmitters (MT): All matter transmitters and teleporters. Critical failures can be disastrous, especially when transmitting living beings! 

Media: All forms of audio, film, and video editing equipment. If three-dimensional video (“holographics”) or sensory recordings (“sensies”) exist in the setting, this specialty includes the ability to operate the relevant equipment. Treat different media as mutually unfamiliar technologies. 

Medical: All manner of electronic diagnostic and life-support equipment. 

Parachronic: Technological means of travel between dimensions or timelines. 

Psychotronics: Psionic technology, such as telepathic shields and amplifiers. 

Scientific: Laboratory electronics and survey gear. You are automatically familiar with the equipment used with any scientific skill on which you have spent at least one point. 

Security: Both operating and circumventing all forms of alarms, security sensors, and area-surveillance technology. 

Sensors: Most forms of long-range detection gear, from air-defense radar to starship sensor suites. Certain highly specialized sensors (such as sonar, below) have their own specialties.

Sonar: All types of acoustic detection and ranging gear (normally used underwater). 

Surveillance: All forms of concealable or remote surveillance gear: “bugs,” hidden cameras, long-range microphones, wiretaps, etc. 

Temporal: All manner of time machines. Critical failures can be disastrous for the time travelers! Make separate rolls to “lock onto” and transfer the travelers. 

These specialties default to one another at -4; however, the GM is free to rule that in his campaign, there is no default between exotic specialties (Parachronic, Psychotronics, etc.) and mundane ones (Media, Security, etc.). The technologies covered by a particular specialty vary with TL. For instance, Electronics Operation (Comm) covers telegraphs at TL5, telephones and radios at TL6, and digital communications systems at TL8 . . . and might cover faster-than-light or telepathic communicators at higher TLs. 

Familiarity (p. 169) is crucial here! Electronics Operation/TL8 (Sensors) covers both thermographs on fighter jets and ground-penetrating radars on satellites, but going from one to the other gives you -2 for type (thermograph to radar) and -2 for implementation (jet to satellite), for a net -4 to skill until you familiarize yourself with all the differences. ","IQ-5, Electronics Repair (same)-5, or Engineer (Electronics)-5.",Average,Intelligence,"Equipment modifiers (p. 345); -2 for an unfamiliar technology of a known type (e.g., radar when you are used to thermograph) or an unfamiliar implementation of a familiar technology (e.g., air-defense radar when you are used to weather radar); -1 to -10 if you have been away from the field for a long time (this varies by field) and have not had a chance to become familiar with the changes."
Electronics Repair,TRUE,TRUE,"This is the ability to diagnose and repair known types of electronic equipment. Time required for each attempt is up to the GM. You must specialize in one of the areas listed under Electronics Operation (above), or in Computers (Electronics Repair (Computers) defaults to Computer Operation-5). These specialties default to one another at -4. ","IQ-5, Electronics Operation (same)-3, or Engineer (Electronics)-3. ",Average,Intelligence,Equipment modifiers (p. 345); -2 without plans or schematics; -2 for an unfamiliar technology or implementation (just as for Electronics Operation); -4 to modify a device away from its intended purpose.
Engineer,TRUE,TRUE,"This is the ability to design and build technological devices and systems. A successful roll lets you design a new system, diagnose a glitch, identify the purpose of a strange device, or improvise a gadget to solve a problem. Time required for each attempt is up to the GM. 

Note that engineers are designers and inventors; they are not necessarily skilled at the routine operation or maintenance of the things they design! For instance, Engineer (Small Arms) lets you design a new assault rifle, but you need Armoury skill to maintain it and Guns skill to shoot it. 

You must specialize. Possible fields include: 

Artillery: Designing whatever passes for artillery at your TL, from trebuchets to smart missiles. Default: Armoury (Heavy Weapons)-6. 

Civil: Planning highways, aqueducts, buildings, etc. Default: Architecture-6. 

Clockwork: Designing wind-up gadgetry – watches, mechanical men, and the like. Default: Mechanic (Clockwork)-6. 

Combat: Building or removing fortifications, trenches, etc. Default: Explosives (Demolition)-6. 

Electrical: Designing electrical systems, such as power cells and transmission lines. Default: Electrician-6. 

Electronics: Designing and building electronic apparatus, from computers to starship sensor arrays. (The specific technologies involved – vacuum tubes, transistors, photonics, etc. – will depend on the tech level.) Default: Electronics Repair (any)-6. 

Materials: Concocting new structural materials. Prerequisites: Chemistry or Metallurgy. Defaults: Chemistry-6 or Metallurgy-6. 

Microtechnology: Designing micromachines. Default: Mechanic (Micromachines)-6. 

Mining: Designing underground structures. Defaults: Explosives (Demolition)-6 or Geology (any)-6. 

Nanotechnology: Designing nanomachines. Default: Mechanic (Nanomachines)-6. 

Parachronic: Designing apparatus for crossing dimensions or timelines. Prerequisite: Physics. Default: Electronics Operation (Parachronic)- 6, but there is no default if your society has not discovered dimensional travel. 

Psychotronics: Designing psionic technology, such as telepathic shields and amplifiers. Default: Electronics Operation (Psychotronics)-6, but there is no default for individuals from backgrounds where psionics do not exist. 

Robotics: Designing robotics and cybernetics. Default: Mechanic (Robotics)-6. 

Small Arms: Designing personal firearms, such as guns and portable rocket launchers. Default: Armoury (Small Arms)-6. 

Temporal: Designing time machines. Prerequisite: Physics. Default: Electronics Operation (Temporal)-6, but there is no default for individuals from backgrounds without time travel! 

Vehicle Type: Designing a single, broad class of vehicle. Examples include Engineer (Automobiles), Engineer (Ships), and Engineer (Starships). Default: Mechanic (same vehicle type)-6. 

Engineer specialties normally default to one another at -4; however, the GM is free to rule that in his campaign, there is no default between exotic specialties (Nanotechnology, Parachronic, Psychotronics, etc.) and more mundane ones (Civil, Combat, Mining, etc.). ","Special. Prerequisites: Mathematics (Applied) at TL5+, plus others as noted.",Hard,Intelligence,Equipment modifiers (p. 345). Up to +5 to build a gadget if you can give the GM a good description of what you want it to do.
Enthrallment,,,"Bards in fantasy can often influence others through storytelling. The GM may choose to represent this ability using the four Enthrallment skills Captivate, Persuade, Suggest, and Sway Emotions. Depending on the setting, these skills might be magical, psionic, or a cinematic form of hypnotism. Each has a time requirement, FP cost, and duration, and requires two skill rolls to use. 

At the outset of the tale, roll vs. Public Speaking skill; if you can’t grab your audience’s attention early on, you won’t have much of a chance of controlling them by the end. On a success, proceed to the Enthrallment skill roll; critical success gives +1 on that roll. On a failure, you may still attempt the Enthrallment roll, but at a penalty equal to your margin of failure. Critical failure means your Enthrallment attempt fails automatically. 

After the time required to enthrall has passed, roll a Quick Contest of your Enthrallment skill vs. the Will of each audience member. If you win, you affect your audience – see the individual skill description for effects. If you lose or tie, there is no effect. However, if you critically fail, your audience instantly turns hostile! 

You may never learn these skills at a skill level higher than your Public Speaking skill. 

Audience Size: An “audience” can be one listener or a hundred – as many as can hear the tale. However, the number of audience members that you can enthrall at one sitting is limited to your Charisma level squared, to a maximum of 25 people at Charisma 5. 

This skill allows you to tell a story so skillfully that those listening lose their will and do whatever you want them to do. In effect, they believe themselves to be in the tale, and are vulnerable to being manipulated by you, the teller of the tale. 

If you win the Quick Contest, the audience becomes intensely loyal to you. They follow any direct order you give. In the absence of a direct order, they act in your best interest, as they understand it. If you tell someone to do something very hazardous, or that goes against his usual code of behavior (GM’s decision), he gets a Will-5 roll to break the captivation. Otherwise, he is your loyal supporter for all intents and purposes. 

Time: 30 minutes of uninterrupted storytelling. 

Fatigue Cost: 8 FP, whether successful or not. 

Duration: Captivation lasts until the subject becomes unconscious or falls asleep, you become unconscious or fall asleep, you attack the subject, or the subject loses half his HP to injury.",None. Prerequisites: Charisma 1 and Public Speaking at 12+.,Hard,Willpower,"All four Enthrallment skills are at -3 for Low Empathy (p. 142). If the player actually tells a good tale, the GM should reward him with +1 to +3 to the Public Speaking and Enthrallment rolls!"
Environment Suit,TRUE,,"This is training in the use of a specific class of protective suit. Suits designed to shield the wearer from environmental or battlefield hazards frequently incorporate gadgets (such as autoinjectors and sensors) and life-support equipment. Some suits even contain motors to enhance ST or Move. As a result, you do not merely wear such gear – you operate it. 

Roll against Environment Suit skill to get into or out of your suit quickly. A successful roll halves the time required. To activate a specific subsystem of a suit, or to gauge whether a suit is in good repair, make an IQ-based skill roll instead. 

When rolling against DX or any DX-based skill while suited up, use the lower of your Environment Suit skill and your actual skill level. For instance, if you have DX 14, Stealth15, and Vacc Suit-13, you will function at DX 13 and Stealth-13 while wearing a spacesuit. Particularly ungainly suits might give -1 or more to DX on top of this, regardless of skill level. On the other hand, some sleek, ultra-tech suits might not limit skills at all! 

However, Environment Suit is strictly the skill of donning and operating the suit. Familiarity with and knowledge of dangerous environments is covered by other skills: Free Fall, Hazardous Materials, Survival, etc. 

Each suit type requires its own skill. Examples include: 

Battlesuit/TL: All kinds of powered battle armor and exoskeletons. Battle armor and exoskeletons are similar but not identical. If you only have experience with one, you are at -2 to operate the other until you gain familiarity (see Familiarity, p. 169). 

Diving Suit/TL: All types of hard diving suits (as opposed to the wetsuits and drysuits used with Scuba skill). This includes “open dress” gear at TL5 and “hard hat” gear at TL6, both of which use a sealed helmet and supplied air, but not always a full, sealed suit. At TL7+, this skill covers true underwater “hardsuits.” The GM may require Swimming rolls to maneuver while wearing such a suit. Default: Scuba-2. 

NBC Suit/TL: All forms of hazardous materials (“HazMat”) gear – including sealed, unpowered body armor that can be buttoned down against nuclear-biological-chemical (NBC) threats. Without this skill, you run the risk of misusing the equipment and being exposed to contamination. To improvise NBC gear, make an IQ-based skill roll at -5 to -15 to skill. 

Vacc Suit/TL: Any kind of spacesuit. In addition to true vacuum suits, this includes suits intended for use in high-pressure, corrosive, and poisonous atmospheres. 

Battlesuit, NBC Suit, and Vacc Suit default among themselves at -2. Diving Suit defaults to or from any other Environment Suit skill at -4. 

Note that unpowered, unsealed body armor never requires an Environment Suit skill.",DX-5 and others.,Average,Dexterity,
Erotic Art,,,"This represents general knowledge of advanced sexual technique. IQ-, HT-, and even ST-based rolls are common. Precise game effects are left to the GM’s discretion. ",DX-5 or Acrobatics-5,Average,Dexterity,+3 for Flexibility or +5 for Double-Jointed (p. 56); -3 for Killjoy (p. 140).
Escape,,,"This is the ability to slip out of ropes, handcuffs, and similar restraints. The first attempt to escape takes one minute; each subsequent attempt takes 10 minutes. 

The GM may apply a penalty for particularly secure bonds. For instance, modern police handcuffs would give -5 to Escape. You suffer only half these penalties if you dislocate the restrained limb (usually an arm). This requires (20 - skill) minutes of concentration, minimum one minute and a Will roll. However, if you fail your Escape roll by 3 or more when dislocating a limb, the limb suffers 1d damage. On a critical failure, you automatically take enough damage to cripple the limb! ",DX-6,Hard,Dexterity,+3 for Flexibility or +5 for Double-Jointed (p. 56); any bonus for Slippery (p. 85).
Esoteric Medicine,,,"This is the skill of treating illness and injury with techniques grounded in esoteric theory rather than analytical science. It is usually associated with a magical or spiritual tradition. The particulars vary by tradition, but might include acupuncture, massage, alchemical or herbal preparations, or such exercises as breath control and meditation. 

The effectiveness of Esoteric Medicine relative to Physician (p. 213) is up to the GM. It might be more effective (especially if it can channel real supernatural power), equivalent but different, or less effective. It should always be at least as good as First Aid (p. 195) – the attentions of a trained healer of any kind are preferable to bleeding to death! In TL5+ settings, Esoteric Medicine is often perceived as “quack” medicine, regardless of actual effectiveness. 

This skill might represent Ayurvedic medicine, chi treatment, Hermetic medicine, yin/yang healing, or any other historical or fictional healing discipline. In settings where multiple forms of treatment exist, healers must specialize in one specific tradition.",Perception-6.,Hard,Perception,
Exorcism,,,"This is the ability to drive a spirit from a possessed person or haunted location. It is not a magical skill, but a religious ritual. Exorcism is not specific to any one religion. A Malay witch doctor and a Catholic priest can both perform exorcisms; their relative effectiveness depends on the originating culture of the spirit. 

The length of the ritual is 15 minutes x the spirit’s HT. Some spirits wait patiently through the ritual, anticipating the combat to come; others try to distract or even attack you before you can complete the ritual. Once the ritual is complete, roll against Exorcism skill. 

On a failure, the spirit remains and you must wait at least a week before you can repeat the ritual. On a critical failure, immediately roll 3d+10 on the Fright Check Table (p. 360). Even if you keep your sanity, you may never attempt to exorcise this particular spirit again. 

On a critical success, you immediately banish the spirit. On a regular success, you meet your opponent in a Quick Contest: your Exorcism skill vs. the higher of the spirit’s ST or Will. When fighting a spirit in a living host, add higher of the ST or Will of the possession victim to your Exorcism skill as he tries to “push the spirit out.” 

If the spirit wins or ties, it retains its current status and you must wait at least a week before you can repeat the ritual. If you win, you drive the spirit from its haunt or victim. The spirit of a deceased mortal is laid to rest. For demons and similar entities, make a reaction roll. On a “Poor” or better reaction, the spirit flees in humiliation. On a “Bad” or worse reaction, the spirit immediately uses whatever resources it has to take vengeance on you and those nearby. 

If the exorcism fails at any stage, make an IQ roll afterward. A success means that you learned something about the spirit that will help you in your next attempt to banish that foe, giving you +2 on later skill rolls. You may only claim this bonus once for a particular spirit. ","Will-6, Religious Ritual (any)-3, Ritual Magic (any)-3, or Theology (any)-3.",Hard,Willpower,"-4 if you do not have one or more of Blessed (p. 40), Power Investiture (p. 77), or True Faith (p. 94); you might understand the ritual, but you lack holy support."
Expert Skill,,TRUE,"An Expert Skill represents cross-disciplinary knowledge of a single, narrow theme. When answering factual questions on that theme, you may substitute a roll against your Expert Skill for any IQ-based roll against any skill that has a default. Expert Skills do not exempt you from Cultural Familiarity (p. 23) or Language (p. 23) requirements, and never provide the ability to do practical tasks. Experts sometimes complement Expert Skills with related Area Knowledge skills (p. 176), but you must learn these separately. 

You must specialize by theme, and the GM is free to forbid any theme he feels is too broad. Some examples: 

Computer Security: Expertise at combating computer intrusion (“hacking”). Can stand in for Computer Operation, Cryptography, or Electronics Operation to spot “holes” in the security of a computer system. Use Computer Programming to patch or exploit such holes. 

Conspiracy Theory: The study of interlocking networks of conspiracies. Can substitute for Anthropology, Geography, History, Literature, or Occultism to answer questions about conspiracies, and can also work as Intelligence Analysis for this purpose (only). This does not include hidden inner secrets, which are the province of Hidden Lore (p. 199). 

Egyptology: The study of ancient Egypt. Can function as Anthropology, Archaeology, History, Linguistics, or Occultism for that purpose. 

Epidemiology: The study of the spread of disease. Can serve as Biology, Diagnosis, Forensics, Geography, or Mathematics when deducing how a disease was spread. 

Hydrology: The study of a planet’s water. Can be used in place of Biology, Chemistry, Geography, Geology, or Meteorology to answer questions about precipitation, flooding, irrigation, etc. 

Military Science: General expertise on military capabilities. Can substitute for Artillery, Armoury, Strategy, or Tactics to answer questions about – but not use – weapons or strategies. 

Natural Philosophy: A general skill that usually replaces specific science skills (which might not even exist yet!) for scholars at TL1-4. Can be used in place of any science skill (e.g., Biology or Physics) to answer questions about how the universe is believed to work. 

Political Science: The academic study of politics. Can substitute for Geography, History, Law, Politics, or Sociology when performing political analysis. 

Psionics: The study of the psionic mind and brain. Can function as Biology, Diagnosis, Physician, Physiology, or Psychology when dealing with psi phenomena in living beings. Cannot substitute for Electronics Operation, Electronics Repair, and Engineer specialties that deal with psychotronics. 

Thanatology: The esoteric study of death. Can stand in for Anthropology, Archaeology, Occultism, or Theology when dealing with death and the dead. 

Xenology: General knowledge of the known races in your setting. Can substitute for Anthropology, History, Physiology, or Psychology to identify a member of a race different from your own, or to answer general questions about the race and its culture.",None.,Hard,Intelligence,
Explosives,TRUE,TRUE,"This is the skill of working with explosives and incendiaries. 

You must specialize: 

Demolition: The ability to prepare and set explosives in order to blow things up. Make a roll whenever you use explosives in this way. A failure indicates an error. The gravity of the error depends on the amount by which you failed; a badly failed roll in close quarters can blow you up! Time required varies – it takes only a couple of seconds to set a prepared charge, but it might take hours to demolish a large bridge or a skyscraper. When setting an explosive trap, use this skill rather than Traps. Rolls to set a “trap” fuse (e.g., a land mine) instead of a timed fuse are at -2. Defaults: Engineer (Combat) or (Mining) at -3. 

Explosive Ordnance Disposal (EOD): The ability to disarm and dispose of bombs and other explosives. When disarming a trap, roll a Quick Contest of your Explosives (EOD) skill vs. the Explosives (Demolition) skill of the person who created the device. A failure (or even a critical failure) does not necessarily mean an explosion – the GM can be much more creative than that! Sudden hissing noises, mysterious parts falling off, cramps, itches, and alarm bells are all possible in the right circumstances. It is best if the GM rolls the dice and describes the physical circumstances to the victim. Fright Checks are appropriate for the survivors of a failed EOD attempt! Prerequisite: DX 12+. 

Fireworks: The skill of making pyrotechnic devices – fireworks, flares, smoke bombs, flash grenades, etc. Most of these things can be used by anyone. Default: Chemistry-3. 

Nuclear Ordnance Disposal (NOD): The equivalent of Explosives (EOD) for nuclear devices. Disarming a military nuclear weapon is straightforward; disarming a homemade terrorist bomb might be more difficult. Only a critical failure verified by a second critical failure will result in a nuclear detonation. Any lesser failure will – at worst – detonate the high-zexplosive trigger and contaminate the immediate area with radioactive material . . . not that this is a great deal of consolation to those nearby. 

Underwater Demolition (UD): The ability to prepare and set explosives underwater. This is otherwise identical to Explosives (Demolition). You usually need Scuba skill – or at least Swimming skill – to get into a position where you can use this skill. 

These specialties default to one another at -4 except for Demolition and UD, which default to one another at -2, and EOD and NOD, which also default to one another at -2.",IQ-5 and others.,Average,Intelligence,"Equipment modifiers (p. 345); -1 to -5 for distractions (e.g., enemy fire or swarms of biting ants) or physical motion (e.g., a rocking boat or speeding bus). The time modifiers under Time Spent (p. 346) will often apply."
Falconry,,,"This is the skill of “hawking”: hunting small game with a trained hawk. It includes knowledge of hunting and training techniques, as well as how to care for a falcon. Finding a wild falcon’s nest in spring requires a week’s search and a successful Falconry roll; a nest has 1d-3 chicks.",IQ-5 or Animal Handling(Raptors)-3.,Average,Intelligence,
Fast-Draw,,TRUE,"This skill lets you quickly draw a weapon from its holster, sheath, or hiding place. A successful roll means you ready the weapon instantly. This does not count as a combat maneuver; you can use the weapon to attack on the same turn. On a failure, you ready your weapon normally but may do nothing else on your turn. A critical failure means you drop the weapon! 

You must specialize in one of these weapon types: Force Sword, Knife, Long Arm (rifle, shotgun, submachine gun, etc.), Pistol, Sword (any onehanded blade larger than a knife), or Two-Handed Sword. The GM may add Fast-Draw skills for other weapons (or even tools) that one could reasonably draw quickly. 

In addition to the above specialties, there are two Fast-Draw skills that allow you to reload missile weapons quickly: 

Fast-Draw (Arrow): Lets you ready a single arrow, bolt, or dart instantly. This reduces the time required to reload a bow, crossbow, or blowgun by one second. 

Fast-Draw/TL (Ammo): Reduces the time required to reload any kind of gun or beam weapon. The exact benefits depend on your weapon, but a successful roll always shaves at least one second off the reload time. This skill varies greatly with TL! At TL4, it covers powder-and-shot drills; at TL6+, it includes speed-loading techniques for detachable magazines; and at higher tech levels, it involves quickly replacing energy cells and attaching power cables. 

For the Arrow and Ammo specialties, failure means you drop the arrow or bolt, or accidentally discard one round of ammunition. On a critical failure, you drop the entire quiver, powder horn, ammo box, magazine, etc., scattering loose ammunition everywhere! ",None.,Easy,Dexterity,Combat Reflexes (p. 43) gives +1 to all Fast-Draw specialties; Ham-Fisted (p. 138) gives -3 per level.
Fast-Talk,,,"This is the skill of talking others into doing things against their better judgment. It is not taught (intentionally, that is) in school; you study it by working as a salesman, confidence man, lawyer, etc. In any situation that calls for a reaction roll, you may make an Influence roll against Fast-Talk instead; see Influence Rolls (p. 359). 

If you have Fast-Talk at level 20 or better, you get +2 on all reaction rolls where you’re allowed to talk! 

Note that Fast-Talk differs from Acting (p. 174). In general, Fast-Talk is used to get someone to make a snap decision in your favor, while Acting is used for long-term dissimulation. However, there are situations in which the GM could allow a roll on either skill. ",IQ-5 or Acting-5,Average,Intelligence,"+2 for Voice (p. 97); -3 for Low Empathy (p. 142); -1 for Oblivious (p. 146); -1 to -4 for Shyness (p. 154); -2 for Stuttering (p. 157); -5 for Truthfulness (p. 159). The GM may ask you for details of the story you are using, rather than just let you say, “I’m using Fast-Talk.” Your approach and the plausibility of the story may further modify the roll, at the GM’s discretion."
Filch,,,"This skill lets you steal objects that are sitting in plain sight . . . without being spotted. Roll against skill to shoplift, snatch documents off a desk, etc. If someone is actively watching the item you wish to snatch, you must win a Quick Contest of Filch vs. his Vision roll (or Observation skill, p. 211) to perform the theft unnoticed. 

Filch only covers the theft itself. The GM might require rolls against Stealth to get close enough to make the attempt and Holdout to conceal stolen objects afterward. ","DX-5, Pickpocket-4, or Sleight of Hand-4. ",Average,Dexterity,+3 if the light is dim; +3 if you have a confederate to distract attention.
Finance,,,"This is the skill of managing money. It is a practical application of Economics (p. 189), much as Engineer skill is a practical application of Physics. A successful skill roll lets you broker a financial deal, raise capital for a new corporation, balance a budget, etc. ","Accounting-4, Economics-3, or Merchant-6.",Hard,Intelligence,Business Acumen and Mathematical Ability both provide a bonus.
Fire Eating,,,"This is the performance skill of extinguishing flames in your mouth without burning yourself. Make a skill roll for each item you wish to extinguish. On a success, you put out the flames. On a failure, you take 1d-3 damage (minimum 1) to your mouth. 

This skill also includes fire breathing: igniting a stream of fuel blown from the mouth. At the GM’s option, you may use this as an attack (1d-3 damage).",None.,Average,Dexterity,
First Aid,TRUE,,"This is the ability to patch up an injury in the field (see Recovery, p. 423). Make a skill roll to halt bleeding, suck out poison, give artificial respiration to a drowning victim, etc. Unusual problems must be identified using Diagnosis skill first. ","IQ-4, Esoteric Medicine, Physician, or Veterinary-4. ",Easy,Intelligence,Equipment modifiers (p. 345); physiology modifiers (p. 181).
