disadvantage,description,cost,self_control
Disciplines of Faith,"You live by a strict set of rules in order to achieve a greater understanding of your faith. This might be a personal decision or a requirement of your religion. Such rules are optional in many faiths, though – indeed, some religions might forbid them as excesses! Disciplines of Faith are often a prerequisite for abilities that channel divine power: Power Investiture, True Faith, etc.

Some examples of Disciplines of Faith:

Asceticism: You have renounced the comforts of society to lead a life of self-denial and self-discipline. This often involves some sort of isolation in bleak, austere settings. It might even involve sporadic bouts of severe self-punishment to excise the mortal taint of earthly desire. You must try to transcend all need for worldly possessions, and in any event cannot have above-average Wealth, or Status beyond that granted by your Religious Rank (if any). -15 points.

Monasticism: You lead a life apart from worldly concerns. You are completely devoted to religious pursuits, which often involves the denial of ego and self. You must spend at least 75% of your time sequestered from the world, and cannot have above-average Wealth, or Status beyond that granted by your Religious Rank (if any). -10 points.

Mysticism: You engage in deep meditation and trance-like contemplation, with the aim of obtaining a closer union with the divine. You spend most of your time engaged in these rituals, complete with chanting and any other necessary trappings. Individuals other than devout co-religionists will consider you a bit mad, and will react at -2. -10 points.

Ritualism: You adhere strictly to elaborate rituals regarding every aspect of life – from waking to eating to bathing to sex. Each ritual has its proper place, time, words, trappings, and ceremony. Your fundamental belief is that, through the perfect performance of these rituals, you bring each aspect of your life closer to the divine. -5 points.",-5,
Disturbing Voice,"Your voice is naturally unpleasant or obviously artificial. Details can vary. You might be a robot, or use a technological aid to mitigate the Mute disadvantage. Your voice might be raspy, hollow, or squeaky, or your speech might be monotonous and without inflection. The game effects in all cases are identical to those of Stuttering (p. 157), although you do not necessarily stutter.

This trait is the opposite of the Voice advantage (p. 97); you cannot have both.",-10,
Divine Curse,"You suffer from a curse placed by a god or similar supernatural force. The curse might be on just you, on your entire family, or even on your nation or race.

Divine Curse can take any form the GM desires. It can be a continuing commandment (e.g., “You may never sleep at night,” -10 points), a misfortune (e.g., “Every child born to you will die young,” -5 points), or even a particularly nasty disadvantage such as Berserk, Blindness, or Epilepsy (at the usual cost). What makes it distinct from other disadvantages is the potential for removal. The curse was given for a reason, and you can try to uncover this reason and atone in play, thereby lifting the curse.

The GM should judge the point value of Divine Curse on a case-by-case basis, using existing disadvantages as guidelines: the more encompassing or debilitating the curse, the higher its value. Curses that result in standard disadvantages should never be worth more points than those disadvantages. Price commandments as if they were Vows. The terms of atonement will often be nearly as bad as the curse itself, or require great effort to discover and satisfy. Halve the point value if this is not the case.",,
Draining,"Once per day, at a specific time – sunrise, noon, sunset, midnight, etc. – you take 2 HP of damage. You can do nothing to prevent this, and cannot heal the damage naturally (even if you have Regeneration!), technologically, or supernaturally. The only way to regain your lost HP is to receive a daily dose of a particular substance. Point cost depends on the rarity of this substance:

Rare (e.g., a special potion): -15 points.

Occasional (e.g., virgin’s blood): -10 points.

Common (e.g., human blood): -5 points.

Add -5 points to these values for items that are illegal in your game world.

This is not the same as Dependency (p. 130). You can have both!",-5,
Dread,"You suffer from a supernatural aversion that compels you to keep a certain, minimum distance from a particular item or substance. If outside forces bring you and the item you dread closer together than that, you must move away as fast as you can, by the most direct route possible. You may do nothing else until you are beyond the range of your Dread. If you cannot put at least that much distance between yourself and the object of your Dread, your Dread will render you helpless!

You can instantly sense the presence of the dreaded substance as soon as you enter the forbidden radius. You do not know exactly where it is, but you know what direction it lies in and are compelled to go exactly the other way.

Base value of Dread is -10 points, which prohibits you from coming within one yard of the dreaded substance. A larger radius gives an additional -1 point per yard, to a maximum of -20 points at 11 yards. Find the final disadvantage value by multiplying the point value for your range to reflect the rarity of the substance, as described for Weakness (p. 161).

Special Enhancements
Cannot Be Trapped: You cannot enter the forbidden zone of your own volition, but if carried there by an outside force, you no longer feel your Dread. You can act normally in the forbidden zone until you leave the substance’s presence, at which time the prohibition reactivates. -50%.",,
Duty,"If your occupation and social situation saddle you with a significant personal obligation toward others, and occasionally require you to obey hazardous orders, you have a “Duty.” Duty most often accompanies Rank (p. 29), a Patron (p. 72), or one of the traits discussed under Privilege (p. 30).

A particularly arduous job might qualify as a Duty, but most ordinary jobs would not. A wholly self imposed feeling of duty is not a Duty, either (but it can still be a disadvantage; see Sense of Duty, p. 153). Finally, you cannot claim points for a Duty toward Dependents (p. 131); the points you get for Dependents already reflect your obligations in this regard.

The GM may restrict the Duties allowed in a campaign, or even forbid them entirely, if he feels they would unduly disrupt the flow of the adventure.

If you have a Duty, the GM rolls at the beginning of each adventure to see whether it comes into play. Being “called to duty” could delay your plans . . . or be the reason for the adventure! Alternatively, your master might give you a secret agenda to pursue, or his associates might harass you while you are officially “on leave.” If you try to avoid your Duty, your GM is within his rights to penalize you for bad roleplaying. 

The basic point cost of a Duty depends on the frequency with which comes up in play:

Almost all the time (roll of 15 or less): -15 points. At this level, the GM may rule that you are always on duty.

Quite often (roll of 12 or less): -10 points.

Fairly often (roll of 9 or less): -5 points.

Quite rarely (roll of 6 or less): -2 points.

This cost is for an occasionally hazardous Duty imposed through normal social means. If this does not describe your Duty, you should modify the cost:

Extremely Hazardous: You are always at risk of death or serious injury when your Duty comes up. There are significant penalties if you refuse to take these risks: dismissal in disgrace, imprisonment, perhaps even death. The GM has the final say as to whether a given Duty is “extremely hazardous” in his campaign. -5 points.

Involuntary: Your Duty is enforced by threats to you or your loved ones, or is imposed by exotic mind control, a curse, etc. This is unrelated to how hazardous the Duty is when you carry it out – the danger here lies in what will happen if you don’t carry it out! A Duty can be Involuntary and either Extremely Hazardous or Nonhazardous. -5 points.

Nonhazardous: Your Duty never requires you to risk your life. This option is mutually exclusive with Extremely Hazardous. +5 points. (If this raises the cost of your Duty to 0 points or more, the obligation is too trivial to qualify as a Duty.)

Examples
Example 1: A mayor is indebted to the crime lord who got him elected. His benefactor rarely calls on him for favors (-2 points), but since the mayor faces blackmail or violence if he refuses to comply, his Duty is Involuntary. Duty (Crime Lord, 6 or less; Involuntary) is worth -7 points.

Example 2: A commando is always on duty (-15 points). He might see only a handful of combat assignments in his whole career, but these will be deadly. And his daily routine calls for him to jump out of planes, hike through snake-infested jungles, and train with live ammo. A commando has Duty (Army, 15 or less; Extremely Hazardous), for -20 points.
",,
Dwarfism,"You are abnormally short for your species. Regardless of ST, your height falls below the lowest value on the Build Table – under 4’4,” for a human. This gives you Size Modifier -1. Choose your weight from the first line of the Build Table and reduce it by 15%. 

You have -1 to Basic Move (short legs). In combat, your reach is reduced by 1 yard. This is partly because you have short arms and partly because you must use scaled-down weapons (regardless of your ST, your arms lack the leverage to control fullsized weapons). 

You get -2 to Disguise – or to Shadowing, if your are trying to follow someone in a crowd. In backward settings, the GM may require you to take a Social Stigma if you suffer from Dwarfism.

 A member of any race may be a dwarf. Scale down height by a factor of 0.75 from the racial average, and modify racial SM by -1. Otherwise, the rules remain the same.",-15,
Dyslexia,"You have a crippling reading disability. Even simple maps and road signs are beyond you. You start with a written comprehension level of “None” in your native language. This is included in Dyslexia; you get no extra points for it. Furthermore, you may never improve your written comprehension level beyond “None” in any language. For more on language comprehension, see Language (p. 23).

You can learn “book-learned” skills at normal speed if you have a teacher to substitute for your inability to use texts. Attempts to learn such a skill without a teacher progress at 1/4 speed – if the skill is one you can teach yourself without books. The GM’s word is final in all cases. In traditional fantasy settings, magic is a book-learned skill, and Dyslexia prevents you from ever becoming a wizard.

Note that this is a severe case. Mild dyslexia is not significant in game terms, except possibly as a quirk.",-10,
Easy to Kill,"You have a health problem or structural weakness that leaves you prone to catastrophic system failure if you suffer enough damage. Each level of Easy to Kill gives -1 to HT rolls made for survival at -HP or below, and on any HT roll where failure would mean instant death (e.g., heart failure). This does not affect most normal HT rolls – only those to avoid certain death. You may not reduce your HT roll below 3. For instance, if you have HT 10, you are limited to Easy to Kill 7.",-2,
Easy to Read,"Your body language betrays your true intentions. This is not the same as Truthfulness (p. 159). You have no moral problem with lying, and may even possess Fast-Talk at a high level, but your face or stance gives the game away.

Easy to Read gives others +4 on all Empathy, Body Language, and Psychology rolls to discern your intentions or the truth of your words. As well, they get +4 to their IQ, Detect Lies, and Gambling rolls in any Quick Contest with your Acting, Fast-Talk, or Gambling skill when you try to lie or bluff. (If you also have Truthfulness, your Fast-Talk skill is at -5 on top of this.) This is a crippling disadvantage for a would-be spy, con man, or gambler!

This is a mental disadvantage, despite its physical manifestations; with enough practice, you can “buy it off.”",-10,
Electrical,"Your body contains unshielded electronics, or relies on electrical power for its vital energy. This makes you susceptible to attacks that only affect electrical systems, such as spells, advantages, and ultra-tech weapons that drain power or produce “surge” effects, and the electromagnetic pulse from a nuclear blast. A critical hit from an electrical attack causes you to “short-circuit,” rendering you unconscious in addition to any other damage effects.

This disadvantage usually accompanies the Machine meta-trait (p. 263), but this is not required. Afflictions and Innate Attacks that only affect those with this trait are possible. Apply the -20% Accessibility limitation “Only on Electrical” to all such attacks.",-20,
Enemies,"An “Enemy” is an NPC, group of NPCs, or organization that actively works against you, personally, on your adventures. Some Enemies want to kill you . . . others have more devious goals.

Determine the nature of your Enemy when you create your character, and explain to the GM why the Enemy is after you. The GM is free to fill in additional details as he sees fit.

Three factors determine the disadvantage value of an Enemy: its power, its intent, and its frequency of appearance.

Power
The more powerful the Enemy, the more points it is worth as a disadvantage. The GM sets this value. Note that when your Enemy is an organization, the point value is based on the number of individuals who are after you – not on the total size of the group!

One person, less powerful than the PC (built on about 50% of the PC’s starting points). -5 points.

One person, equal in power to the PC (built on about 100% of the PC’s starting points), or a small group of less-powerful people (3 to 5 people). Examples: A mad scientist, or the four brothers of the man you killed in a duel. -10 points.

One person, more powerful than the PC (built on at least 150% of the PC’s starting points), or a medium-sized group of less-powerful people (6 to 20 people). Examples: a single superhuman or a city police department (which numbers in the hundreds, but they’re not all after you at once). -20 points.

A large group of less-powerful people (21 to 1,000 people), or a medium-sized group that includes some formidable or superhuman individuals.
Examples: the FBI or the Mafia. -30 points.

An entire government, a whole guild of powerful wizards, an organization of supers, or some other utterly formidable group. -40 points.

Special Cases
There are two special cases for which you should adjust the costs given above before multiplying for intent and frequency of appearance:

Evil Twin: Your Enemy looks and sounds like you, and perhaps even uses your name, but acts completely opposite. Often, others will think you suffer from Split Personality (p. 156), and react appropriately (-3 to reactions). You might never meet your Evil Twin, but you will hear about him – usually when you’re taking the blame for something you didn’t do. Normally, an Evil Twin has exactly the same skills and abilities as you, but his mental disadvantages are opposite or skewed. This makes him an even match: a -10-point Enemy. If he is more capable than you, he is worth  extra points, because he is better equipped to make you look insane, and you are less able to predict and thwart his actions.

Evil Twin is more skilled than you or possesses abilities that you do not (GM decides): -5 points.

Evil Twin is more skilled than you and possesses abilities that you do not (GM decides): -10 points.

Unknown: You know you have an Enemy, but you have no idea who it is. Tell the GM the power level of your Enemy. He will create the Enemy in secret and give you no details whatsoever! The advantage of surprise increases your Enemy’s effective power level, and hence its disadvantage value. -5 points.

Intent
The more unpleasant the Enemy’s intentions, the more you multiply its worth in points.

Watcher: Your Enemy stalks you or spies on you. This is annoying, and makes it hard to keep secrets, but it is rarely more than a minor inconvenience. Examples: an aggressive journalist dogging a politician, detectives shadowing a suspected criminal. x1/4.

Rival: Your Enemy wishes to upstage or inconvenience you, or plays cruel practical jokes on you (this is typical of most Evil Twins), but stops short of anything that would do lasting harm. Examples: a politician’s bitter political rival, detectives harassing a suspected criminal. x1/2.

Hunter: The Enemy intends to arrest, bankrupt, injure, or otherwise harm you in some lasting way – or simply wants to kill you. Examples: an assassin gunning for a politician, detectives out to arrest a suspected criminal. x1.

Frequency of Appearance
Choose a frequency of appearance, as explained under Frequency of Appearance (p. 36). Roll at the beginning of each adventure, or at the start of each session of a continuing adventure.

Limits on Enemies
You may not take more than two Enemies, or claim more than -60 points in Enemies. (If the whole U.S. government is out to get you, the fact that your old college professor has lost his mind, and is also after you, pales to insignificance.)

Enemies in Play
If the dice indicate that an Enemy should show up, the GM must decide how and where the Enemy becomes involved. If an Enemy is very powerful, or if a number of different Enemies show up at the same time, this may influence the whole adventure.

If you take an extremely powerful Enemy, you are likely to be jailed or killed before long. So it goes. You can get a 60-point bonus by taking Enemy (FBI, 12 or less; Hunter), but your every adventure will be that of a hunted criminal. Even with an extra 60 points, your career may be short. 

If you start with a weak Enemy, or play cleverly, you might manage to eliminate your foe or permanently change his attitude toward you. But as the saying goes, “There ain’t no such thing as a free lunch.” If you get rid of an Enemy, you have three choices:

1. Pay enough character points to buy off the original bonus you got for that Enemy.

2. Take a disadvantage to make up for the point bonus. For instance, you might have been kicked in the head during the final battle, leaving you partially deaf. Or a giant spider might have attacked you, leaving you with arachnophobia. The new disadvantage should have the same point cost as your former Enemy (or less, if you want to buy off part of the disadvantage). If you cannot think of a good substitute disadvantage, the GM will be more than happy to supply one!

3. Take a new Enemy of equal value. You might have destroyed the fiendish Dr. Scorpion – but his brother is continuing his evil work.



Frequency of Appearance
Whether you pay points for a useful relationship with an NPC or collect points for a troublesome one, it is unlikely that the NPC will be a constant presence. Each friend or foe has a frequency of appearance, and will figure into a given adventure only if the GM rolls less than or equal to that number on 3d at the start of the adventure. How the NPC interacts with you if the roll succeeds depends on the nature of the relationship.

Frequency of appearance multiplies the point cost for an Associated NPC (see p. 31) after determining power level and group size (as applicable), but before you apply any special modifiers:

Constantly (no roll required): x4. The NPC is always present. This level is reserved for NPCs – usually Allies – that are implanted, worn like clothing, or supernaturally attached.

Almost all the time (roll of 15 or less): x3.

Quite often (roll of 12 or less): x2.

Fairly often (roll of 9 or less): x1.

Quite rarely (roll of 6 or less): x1/2 (round up).
",,
Epilepsy,"You suffer from severe epilepsy. You are subject to seizures during which your limbs tremble uncontrollably and you cannot speak or think clearly.

Make a HT roll whenever you are in a stressful situation (especially if your life or the life of a friend is threatened). If you have any sort of Phobia, exposure to the object of your fear counts as a stressful situation; roll vs. HT once every 10 minutes. On a failure, you suffer a seizure that lasts 1d minutes and costs you 1d FP. You can do nothing during that time. 

You may attempt to induce a seizure through autohypnosis. This requires one minute of concentration and a successful Will or Autohypnosis roll. Seizures near areas charged with supernatural energies might produce visions. Whether these are useful is up to the GM.

Low-tech individuals who do not understand “fits” may be awed by them, and perhaps even believe your seizure represents a communication from the gods. Make a reaction roll at +1. A reaction of “Very Good” or better indicates religious awe! “Poor” or worse causes the observers to flee – not to attack (unless they had other provocation).
",-30,
Extra Sleep,"You need more sleep than most people. A normal human requires 8 hours of sleep per night. Each level (maximum of four levels) means you need one additional hour of sleep. Thus, you must go to bed early or sleep in for a few hours each day. This gives you less time each day in which to study or work on other projects.",-2,
Fanaticism,"You believe so strongly in a country, organization, philosophy, or religion that you put it ahead of everything else. You might even be willing to die for it! If the object of your Fanaticism demands obedience to a code of behavior or loyalty to a leader, you oblige willingly and unquestioningly. You must roleplay your unwavering dedication.

Fanaticism does not make you mindless or evil. A glaring priest of Set, brandishing his bloody dagger, is a fanatic. But so is a kamikaze pilot, exchanging himself for an aircraft carrier. And so is a patriot who says, “Give me liberty or give me death!” Fanaticism is a state of mind; it is what you are fanatic about that makes the difference.

Extreme Fanaticism: This is an advanced case of Fanaticism. You get +3 on Will rolls to resist Brainwashing, Interrogation, and supernatural mind control in any situation where failure to resist would lead to betrayal of your cult or organization. On the other hand, you will not hesitate to die for your cause, and will undertake suicide missions “matter-of- factly.” This is still worth -15 points. Your willingness to die is offset by the significant bonus to Will (which will apply a good deal of the time, if you are roleplaying properly).",-15,
Fat,"You have approximately 150% the average weight for your ST. You get -2 to Disguise – or to Shadowing, if you are trying to follow someone in a crowd. However, your extra fat gives you +3 to Swimming rolls, and +2 to ST when you resist knockback. Your HT may not be above 15.",-3,
Fearfulness,"You are nervous and timid. Subtract your Fearfulness from your Will whenever you make a Fright Check, and whenever you must resist the Intimidation skill (p. 202) or a supernatural power that causes fear. As well, add your Fearfulness level to all Intimidation rolls made against you.

You may not reduce your Will roll below 3. For instance, if you have Will 11, you are limited to Fearfulness 8.

This trait is the opposite of Fearlessness (p. 55); you cannot have both.",-2,
Flashbacks,"You tend to experience “flashbacks” when under stress. These are vivid hallucinations, full-participation replays of memories, or similar phenomena. You should choose the type of flashback you experience when you take this disadvantage. The content of each episode is up to the GM.

In any situation that the GM feels is stressful, he will roll 3d. On a 6 or less, you have a flashback. The GM will roll whenever you miss a Fright Check or make the roll exactly, and whenever you fail a self-control roll for another stress-related disadvantage. The flashback occurs in addition to any other results!

Point value depends on the severity of the flashback:

Mild: Duration is 2d seconds. The attendant hallucinations give -2 on all skill rolls, but they are minor – you realize that you are experiencing a flashback. -5 points.

Severe: Duration is 1d minutes. The hallucinations give -5 on all skill rolls, and seem real. -10 points.

Crippling: Duration is 3d minutes. The hallucinations are so severe that they preclude all skill use. The flashback seems completely, 100% real, and can be potentially fatal, as you are receiving no input from the real world. -20 points.",-5,
Fragile,"You are susceptible to wounding effects that do not apply to normal humans. Attacks do not injure you any more than usual (that’s Vulnerability, p. 161), but enough penetrating damage can trigger results more catastrophic than stunning, unconsciousness, or bleeding. Possibilities include:

Brittle: You are brittle (like a creature of ice or crystal) or rotten (like a decaying undead monster). Whenever an injury cripples one of your limbs or extremities, it breaks off. If you can make a HT roll, it falls off in one piece; otherwise, it shatters or liquefies irrecoverably. Furthermore, should you fail any HT roll to avoid death, you are instantly destroyed – you shatter, melt, decay to goo, etc., and instantly go to -10xHP. -15 points.

Combustible: Your body burns more easily than flesh. Perhaps it is dry, resinous, or made of wood. Make a HT roll to avoid catching fire whenever you receive a major wound from a burning or explosive attack. You catch fire automatically if such an attack inflicts 10+ HP of injury. Once aflame, you suffer 1d-1 injury per second until you extinguish the fire by immersion in water, rolling on the ground (takes 3 seconds), etc. -5 points.

Explosive: Your body contains explosives, compressed gas, or something else unstable. On any critical failure on the HT roll for a major wound, you explode! You also explode if you fail any HT roll to avoid death by 3+. Treat this as a 6dx(HP/10) crushing explosion. The blast instantly reduces you to -10xHP, regardless of the damage it inflicts. -15 points.

Flammable: Your body contains something highly flammable: gasoline, hydrogen gas, etc. Make a HT roll to avoid catching fire, with effects as per Combustible, after a major wound from any kind of attack. Roll at -3 for a burning or explosive attack, -3 if the attack struck the vitals, and -6 if both. Once you are burning, a critical failure on any HT roll to avoid death means you explode as described for Explosive. You may be Combustible as well. If so, any burning or explosive attack that inflicts either a major wound or 10+ HP of injury automatically sets you ablaze. -10 points.

Unnatural: You are summoned, conjured, or a magical or weird-science “construct” (e.g., demon, golem, or undead). You automatically fail the HT roll to stay alive if reduced to -HP or below, as that much damage severs your ties with the force that animates you. -50 points.

It sometimes makes sense to take more than one of the above (in particular, Explosive and Flammable often occur together). The GM must personally approve any combination of Fragile with Injury Tolerance (p. 60), as these traits are in many ways opposites.",,
Frightens Animals,"Animals react to you with fear and aggression. Horses do not permit you to ride them, dogs shy away from you or attack savagely, and your mere scent is enough to panic most creatures. You get -4 on all reaction rolls made by animals. Anyone who sees how animals react to you – and those with Animal Empathy – reacts to you at -1. Note that guards or police with guard animals, “sniffer” dogs, etc. decide how to deal with you based on the animal’s reaction roll, not their own!

If your disadvantage is due to lycanthropy, vampirism, or a similar trait, observers get +1 on all rolls to deduce your secret!",-10,
G-Intolerance,"You function well under a narrow range of gravities. For a normal human, the penalties for non-native gravity accrue in increments of 0.2G; see Different Gravity (p. 350). An increment of 0.1G is worth -10 points. An increment of 0.05G is worth -20 points.

This disadvantage is only allowed in campaigns that feature regular space travel.",-10,
Gigantism,"You are abnormally tall for your species. Regardless of ST, your height falls above the highest value on the Build Table – over 7’, for a human. This gives you Size Modifier +1 and +1 to Basic Move (long legs), and qualifies you to buy ST and HP at a discount. Choose your weight from the last line of the Build Table and increase it by 10%. 

You get -2 to Disguise – or to Shadowing, if you are trying to follow someone in a crowd. On the other hand, height often provides a bonus to Intimidation skill (see p. 202). In backward settings, the GM may require you to take a Social Stigma if you suffer from Gigantism. 

A member of any race may be a giant. Scale your height up by a factor of 1.25 from the racial average, and modify racial SM by +1. Otherwise, the rules remain the same.",0,
Gluttony,"You are overly fond of good food and drink. Given the chance, you must always burden yourself with extra provisions. You should never willingly miss a meal. Make a self-control roll when presented with a tempting morsel or good wine that, for some reason, you should resist. If you fail, you partake – regardless of the consequences.",-5,TRUE
Greed,"You lust for wealth. Make a self-control roll any time riches are offered – as payment for fair work, gains from adventure, spoils of crime, or just bait. If you fail, you do whatever it takes to get the payoff. The GM may modify this roll if the money involved is small relative to your own wealth. Small sums do not tempt you much if you are rich, but if you are poor, you get -5 or more on your self-control roll if a rich prize is in the offing. If you have Honesty (p. 138), your self-control roll is at +5 for a shady deal and +10 for outright crime. However, it is almost a foregone conclusion that you will eventually do something illegal.",-15,TRUE
Gregarious,"You work well with others and seek out company. 

Gregarious: You usually react to others at +4. You are miserable when alone, and use IQ-based skills at -2 – or at -1 if in a group of four or less.",-10,
Guilt Complex,"You feel personally responsible for those who play a significant role in your life. This includes adventuring companions, employers, subordinates, Allies, Dependents, and those toward whom you have a Duty or a Sense of Duty. If anything bad happens to someone like this, you will be wracked by anxiety and guilt – even if there was nothing you could have done to avert the disaster.

If the mishap was not your fault, you will suffer the effects of Chronic Depression (p. 126) for (15 - Will) days, minimum one day. Use your Will as your effective self-control number. If the mishap was your fault, the effects of Chronic Depression will last (20 - Will) days, minimum two days, and your effective self-control number is Will-3.

Others may attempt to help you overcome your feelings of guilt by making Fast-Talk or Psychology rolls. The GM is free to modify their rolls, depending on how convincing they sounded. Roleplay it!",-5,
Gullibility,"There’s one born every minute, and you’re it. You believe everything you hear. You’ll swallow even the most ridiculous story, if it’s told with conviction. Make a self-control roll, modified by the plausibility of the story, whenever you are confronted with a lie – or an improbable truth, for that matter. If you fail, you believe what you were told!

A lie well told, or involving something you have no familiarity with (“My father is the chief of police in this town, and he won’t stand for this!”) gives -6 to the self-control roll. A lie concerning a topic you are familiar with (“Didn’t you know they bred ducks in your village, Torg?”) gives -3. You believe even a totally outlandish tale (“Of course the Eskimos are descended from Spanish conquistadors; everyone knows that!”), if you fail an unmodified self-control roll.

You also suffer a -3 penalty on any Merchant skill roll, or in any situation in which your credulity might be exploited. You can never learn the Detect Lies skill.",-10,TRUE
Ham-Fisted,"You have unusually poor motor skills. You suffer a penalty to any DX-based roll to do fine work using the skills listed under High Manual Dexterity (p. 59), and to Fast-Draw skill. For -5 points, the penalty is -3; for -10 points, it is -6. This does not affect IQ-based tasks or large-scale DX-based tasks, nor does it modify combat-related die rolls other than Fast-Draw.

You are also a messy eater, can’t tie a necktie properly, and so on. At the GM’s option, you get -1 per level of this trait on any Influence or reaction roll where being tidy or well-groomed would matter.

This disadvantage is mutually exclusive with High Manual Dexterity.",-5,
Hard of Hearing,"You are not deaf, but you have some hearing loss. You are at -4 on any Hearing roll, and on any skill roll where it is important that you understand someone (if you are the one talking, this disadvantage doesn’t affect you).",-10,
Hemophilia,"You are a “bleeder.” Even a small wound will not heal unless well-bandaged – and you may bleed to death. Any untreated wound bleeds at a rate equal to its original damage every minute. For instance, an untreated 3 HP wound bleeds for 3 HP of damage per minute until stanched.

First Aid is enough to staunch most wounds, but an impaling wound to the torso causes slow internal bleeding. It does damage every minute, as above, until you receive First Aid. Furthermore, it continues to do damage equal to its original damage once per day until properly treated. Only a Surgery roll or supernatural healing can stop internal bleeding or restore HP lost to it. If proper treatment is not available, you will soon die.

If you suffer from this disadvantage, your HT score may not exceed 10.",-30,
Hidebound,"You find it difficult to come up with an original thought. You have a -2 penalty on any task that requires creativity or invention, including most rolls against Artist skill, all Engineer rolls for new inventions, and all skill rolls made to use the Gadgeteer advantage.",-5,
Honesty,"You must obey the law, and do your best to get others to do so as well. In an area with little or no law, you do not “go wild” – you act as though the laws of your own home were in force. You also assume that others are honest unless you know otherwise (make an IQ roll to realize someone might be dishonest if you haven’t seen proof).

This is a disadvantage, because it often limits your options! Make a self-control roll when faced with the “need” to break unreasonable laws; if you fail, you must obey the law, whatever the consequences. If you manage to resist your urges and break the law, make a second self-control roll afterward. If you fail, you must turn yourself in to the authorities!

You may fight (or even start a fight, if you do it in a legal way). You may even kill in a legal duel or in self-defense – but you may never murder. You may steal if there is great need, but only as a last resort, and you must attempt to pay your victims back later. If you are jailed for a crime you did not commit, but treated fairly and assured of a trial, you will not try to escape.

You always keep your word. (In a war, you may act “dishonestly” against the enemy, but you will not be happy about it!) However, you are allowed to lie if it does not involve breaking the law. Truthfulness (p. 159) is a separate disadvantage. 

Honesty has its rewards, of course. If you stay alive and in one place long enough for your honesty to become known, the GM should give you +1 on any noncombat reaction roll – or +3 if a question of trust or honor is involved. This is essentially a free Reputation (see Reputation, p. 26).",-10,TRUE
Horizontal,"You have a horizontal posture, like a cat. You can stand on your hind legs for short periods, but find this very uncomfortable. You can use one hand (if you have hands) while standing on your other limbs, or two hands while sitting on your haunches; in both cases, your ground Move is 0 while doing so. You can carry but not use an object in one hand if moving at half Move. If you are human-sized, you take up two hexes on a battle map.

A horizontal build does not let you put your full weight behind a kick. As a result, your thrusting damage is at -1 per die when you kick. Ignore this penalty if you have Claws (p. 42) – that trait includes the necessary adaptations to strike at full power. The penalty does apply if you have Hooves, however.

Do not take this disadvantage if you are Aerial or Aquatic (see No Legs, p. 145). If you are fully adapted to a three-dimensional environment, body posture is irrelevant.",-10,
Hunchback,"You have a spinal deformity that forces you into a twisted or hunched position, usually resulting in a noticeable hump or lump on one or both shoulders. This reduces height by 6” without changing weight or build. Normal clothing and armor will fit badly, giving you -1 to DX; to avoid this, you must pay an extra 10% for specially made gear.

Most people find you disturbing to see and react at -1. This penalty is cumulative with regular appearance modifiers (see Physical Appearance, p. 21), and you may have no better than Average appearance. Your appearance is also distinctive, which gives you -3 to Disguise or Shadowing skill, and +3 to others’ attempts to identify or follow you.

Realistic hunchbacks should have the Bad Back disadvantage (p. 123) as well, but this is not required.",-10,
Impulsiveness,"You hate talk and debate. You prefer action! When you are alone, you act first and think later. In a group, when your friends want to stop and discuss something, you should put in your two cents’ worth quickly – if at all – and then do something. Roleplay it! Make a self-control roll whenever it would be wise to wait and ponder. If you fail, you must act.",-10,TRUE
Increased Consumption,"One “meal” keeps you going for a much shorter period of time than it would a normal human. This is suitable for small creatures that must eat often, or for machines that rapidly exhaust their fuel or energy supply.

Increased Consumption 1: You must eat six meals a day. If you have the Machine meta-trait (p. 263), you have a 4-hour endurance.

Increased Consumption 2: You must eat 12 meals a day. If you have the Machine meta-trait, you have a 2- hour endurance.

Increased Consumption 3: You must eat 24 meals a day. If you have the Machine meta-trait, you have a 1- hour endurance.

. . . and so on, doubling consumption and halving endurance for each additional level. A single level of this trait is appropriate for normal humans who have a build of Overweight or heavier (see Build, p. 19), or the Gluttony disadvantage (p. 137).",-10,
Increased Life Support,"Your environmental requirements in a life-support situation are greater than those of a normal human. Some examples:

Extreme Heat/Cold: You require a temperature above 200° or below 0°. -10 points.

Massive: You require more than a ton of additional weight in order to survive aboard a spacecraft or a submarine, or in any other setting where resources and space are limited. If you can wear an environment suit, this always weighs at least a ton. -10 points.

Pressurized: You require a separate pressurized compartment to survive. -10 points.

Radioactive: You are radioactive or require a radioactive environment. -10 points.

The GM may allow other kinds of Increased Life Support. These should worth no more than -10 points apiece unless they are extremely exotic. Add together the value of multiple special requirements, but note that the total disadvantage value cannot exceed -40 points.

Increased Life Support represents the logistical inconvenience of special life-support requirements, while Dependency (p. 130), Maintenance (p. 143), and Restricted Diet (p. 151) all reflect the health effects of doing without such requirements. The same requirement can qualify in both categories if it has consequences for both health and logistics. But note that a Dependency you can satisfy with a one-ounce inhaler of a drug does not let you claim Increased Life Support for a pressurized cabin full of the stuff!

The GM’s word is final. With the GM’s permission, normal humans may take this disadvantage to represent the special requirements of certain chronic illnesses.",-10,
Incurious,"You hardly ever notice things unrelated to the business at hand. Make a self-control roll when confronted with something strange. If you fail, you ignore it! You react at -1 to new things.",-5,TRUE
