spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Beast Possession,Regular; Resisted by Will,"Like Rider Within – except caster is in full control of the subject, “from the inside,” and has full access to the beast’s memories and abilities. While in the subject’s body, the caster may use all its skills and abilities as though they were his own. He may use his own mental abilities, but not his physical ones (so he cannot cast spells unless he knows them so well that they require no speech or gesture). The caster’s own body lies unconscious during the spell, and must be safeguarded.",1 minute,6,2,5 seconds,Rider Within or Possession,Hard,Animal,"A pair of identical pieces of jewelry – one gold, one silver. The gold one must be worn by the caster, the silver one by the subject (e.g., on a collar). The spell can then be cast at any time, regardless of distance. Usable only by a mage. If a Powerstone is included in the item, it is in the gold one. If either item is broken, the other loses its enchantment.
Energy cost to create: 1,500 (for the pair). Each of the pair must include an opal worth $200."
Permanent Beast Possession,Regular; Resisted by Will,"Like Beast Possession, but the caster’s consciousness remains in the body of the subject until he chooses to leave or is “exorcised” by a Dispel Possession, Counterspell, Remove Curse, or similar spell. Remember that the caster must know the appropriate (Animal) Control spell for the spell to work on the chosen subject. The caster’s body is in Suspended Animation (p. 94) while the spell continues. If the caster’s body dies, the spell is broken.
Whenever the subject body takes damage, the caster must roll against his own body’s HT or take the same damage. If the subject animal dies, the caster must roll vs. HT or die himself!

In addition, the caster must roll against his IQ every day; a failed roll means that he loses one point of IQ. The caster does not need to roll once he reaches the beast’s normal IQ range. The lost IQ is regained when the spell is ended. Should IQ drop to 5, only Remove Curse or Dispel Possession will end the spell.",Indefinite (could be permanent),20,,1 minute,Magery 2 and Beast Possession,Very Hard,Animal,"Cap, crown, helmet, or other head- gear. The item must bear a picture of the animal form it is usable on. Usable only by mages.
Energy cost to create: 2,000."
Protect Animal,Area,"Cast on an area, this spell protects all animals of a certain kind within its borders. Attempts to harm them are warded off as if by invisible defenders; protected animals gain DB +3 and DR 5.",1 minute,1,Same,1 minute,"Armor, Watchdog, and any three Animal spells.",Hard,"Animal, Protection and Warning",
Shapeshifting,Special,"Change to the form of an animal. Each animal form is a different spell, to be learned separately. The caster may only learn the form of an animal with which he is familiar. Many worlds have only a limited number of animal forms available. Clothing, jewelry, and armor vanish when the beast-form is taken and reappear when the human form is resumed (magical jewelry cannot be detected while “vanished”). Backpacks, carried items, etc., simply fall to the ground.

The caster retains his intelligence, but gains all the physical attributes of the new form. This means that the wearer cannot cast spells unless he knows them so well that they can be performed without gestures! Note that Fatigue Points are not increased for spellcasting purposes.
Each hour that the spell continues, the caster must make a roll against IQ; failure means that the caster loses a point of IQ, continuing until the normal IQ of that beast is reached. Should the caster’s IQ drop to 5, he is trapped in beast form forever unless the spell is removed by Remove Curse (other spells won’t counter it). Lost IQ is regained when human form is reassumed.

For most natural beast forms, an energy cost of 6 to cast and 2 to maintain is appropriate; animals with great strength, for example, tend to be counterbalanced by reduced agility. If the GM allows supernatural creatures as beast forms, however, or if he is concerned about the power of a given animal form, he may wish to change the cost of the spell. A reasonable guideline is to calculate the point value of the physical characteristics of the beast form and charge 1/20 of the form’s cost to cast and 1/60 to maintain, with a minimum cost of 3 to cast and 1 to maintain.",1 hour,Variable. See description.,Variable. See description.,3 seconds,"Magery 1, and at least six other spells of any type.",Very Hard,Animal,"(a) Jewelry. The item must bear the likeness of the shape to be taken; usable only by a mage, or by someone descended from a natural were. It remains with the caster when the spell is cast – therefore, a collar or necklace is most convenient. There is no cost to maintain the spell, but the caster cannot change back unless he still has the item; otherwise, a Remove Curse spell must be used if he is to regain normal form.
Energy cost to create: 1,500.

(b) Skin of the shape to be taken. As above, but merges into the subject and so cannot be lost!
Energy cost to create: 3,000."
Shapeshift Others,Special; Resisted by Will,"As Shapeshifting, but usable on others. The subject cannot end the spell; only the caster, or a Remove Curse spell, can do that. If the spell continues until the subject’s IQ drops to 5, he is trapped in the beast form!",1 hour,"As Shapeshifting, but the minimum cost of the spell is 6 to cast.","As Shapeshifting, but the minimum cost of the spell is 2 to maintain.",30 seconds,Magery 2 and Shapeshifting for that form.,Very Hard,Animal,"(a) Staff or wand. Usable only by a mage; the item must touch the subject.
Energy cost to create: 3,000.

(b) Skin of the shape to be taken. Always on. Placed on the subject, it puts the spell on him permanently (soon causing IQ loss as per Shapeshifting) until it is taken off by Remove Curse; the item may then be reused.
Energy cost to create: 3,000."
Permanent Shapeshifting,Regular,"Like Shapeshifting, but the subject remains in animal form until he chooses to resume his normal form. He must roll for IQ loss daily rather than hourly.",Indefinite (could be permanent),5 times the cost of the corresponding Shapeshifting spell.,,1 minute,Magery 3 and Shapeshifting for that form.,Very Hard,Animal,"(a) Jewelry. The item must bear a picture of the form to be taken. Usable only by a mage or a descendant of a natural were. It remains with the subject when the spell is cast; note that the subject cannot end the spell if he loses the item while in beast form (if he does, only Remove Curse can turn him back!).
Energy cost to create: 3,000.

(b) Skin of the shape to be taken. As above, but merges into the subject and cannot be lost.
Energy cost to create: 4,500."
Partial Shapeshifting,Regular; Resisted by Will,"As Shapeshifting, but affects only one body part. The subject of the spell can be the caster or someone else. Each variation is a separate spell. The resulting body part preserves the subject’s scale: Shapeshifting a human’s head into a hummingbird’s head results in a human with a
human-sized hummingbird head. Some variations bear misleading titles: Crocodile Jaws, for example, transforms the subject’s entire head, not just his jaws – the jaw muscles must be properly anchored!
Some known variations are:

Chameleon Eyes (3 to cast): The subject gains Enhanced Tracking 1 (p. B53) and Peripheral Vision (p. B74).

Crocodile Jaws (5 to cast): The subject’s head becomes a crocodile’s, granting the subject Sharp Teeth (p. B91) and a ST of 20 for the purposes of biting only. Speech is slurred but intelligible. He also gains Peripheral Vision and Colorblindness (p. B127) as side effects.

Elephant Trunk (3 to cast): The subject’s nose becomes a trunk, granting him an Extra Arm (p. B53). He also gains Peripheral Vision and Colorblindness as side effects.

Feathered Arms (3 to cast): The subject’s arms transform into wings, giving him Flight (Winged) (p. B56).

Fish Tail (3 to cast): The subject’s legs fuse into a single powerful fluke, giving him Enhanced Move 1 (Water) (p. B52).

Mountain Goat Hooves (4 to cast): The subject’s feet become mountain goat hooves, granting him Climbing-14 (only usable while mountaineering) and Jumping-14.

Saber Teeth (5 to cast): The subject’s canines become saber-teeth, granting him Fangs (p. B91) and ST 25 for the purposes of biting only. Speech is slightly slurred. The subject acquires Colorblindness as a side effect.

Scorpion Tail (7 to cast): The subject grows a scorpion’s stinger, complete with poison gland. This is an Impaling Striker (p. B88) with the Follow-Up enhancement; on a successful penetrating hit, a 1d+2 Innate Attack (Toxic, Melee Attack, Resistible) takes effect. A victim may resist the scorpion venom by making a HT-6 roll.

Serpent’s Fangs (3 to cast): The subject’s canines become fangs, able to deliver a venomous bite; this is a 1d+1 Innate Attack (Melee Attack, Contact Agent, Toxic, Resistible (HT-4), Cyclic (daily, expires after three days)).

Skunk Tail (3 to cast): The subject grows a huge skunk’s tail (2 yards long), and gains the ability to use the Stench spell (p. 24) at will. The area of effect is two yards in radius and must be centered on some portion of the tail. This ability costs 2 FP to use.

Spider Arms (7 to cast): The subject grows two Extra Arms and gains one Extra Attack (p. B53).

Tiger Paws (4 to cast): The subject’s hands become tiger paws, granting him Sharp Claws and Striking ST 24, but he also gains No Fine Manipulators (p. B145).

Toad Tongue (3 to cast): The subject’s tongue becomes long and adhesive, serving as an Extra Arm with the Long and Weak enhancements and additional Striking ST – it attacks with the subject’s full strength, but lifts with only 1/4 of the subject’s ST. The subject also gains Peripheral Vision as a side effect.

Turtle Shell (10 to cast): The subject becomes encased in a turtle shell. It has DR 5 and weighs 4 pounds per point of ST of the subject.",1 hour,Variable; never less than 3.,One third (round up) to maintain.,10 seconds,"Magery 3, Shapeshift Others for the appropriate animal, and Alter Body.",Very Hard,Animal,"The item’s form depends on the body part affected – gloves to shapeshift the hands, boots for the feet, a mask for the face, and so on. It must bear a likeness of the shape to be taken. There is no cost to maintain; the spell ends when the user mimics pulling off the item.
Energy cost to create: 1,000 plus 250 per point of casting cost."
Great Shapeshift,Special,"Perform multiple, fast, repeated changes of shape, temporarily accessing the Morph ability (p. B84). The spell lapses, however, if at any point the caster returns to his natural form. The caster is mentally stunned when the spell ends.
Clothing, jewelry, and armor vanish when the spell is cast, reappearing when it lapses (magical jewelry cannot be detected while “vanished”). Items that the caster was carrying when the spell was cast (including backpacks, etc.) simply fall to the ground.

At its minimum cost, Great Shapeshift allows the caster to change into any creature whose racial template costs 0 points or less (note that this is slightly different from the Morph ability). Each additional point of energy, however, adds 5 character points to the maximum point value of the allowable templates.

A caster remains subject to the Magic Rituals requirements (p. 8) while shapeshifted; if he changes into a form that cannot gesture or speak, he cannot use any spell known at a skill less than 20.

Mages who know Great Shapeshift can use Counterspell to hold a Great Shapeshifted caster in whatever form he currently has, for as many seconds as the Counterspell wins the contest by (or until the Great Shapeshift lapses).",1 minute,"20 to cast, plus 1 per additional 5 character points of template limit.",Half,5 seconds,"Magery 3, Alter Body, four types of Shapeshifting, and at least 10 other spells of any kind.",Very Hard,Animal,"Jewelry, decorated with an abundance of animal motifs. Usable only by mages. The item vanishes when the spell is cast, to reappear when it lapses.
Energy cost to create: 5,000."
Climbing,Regular,"Gives the subject a strong, sure grip, increasing his Climbing skill.

The increase in the subject’s Climbing skill is equal to twice the energy put into the spell.",1 minute,1 to 3,Same,,,Hard,Body Control,"Shoes, gloves, clothing, or jewelry; only affects the wearer.
Energy cost to create: 250 times the maximum Climbing bonus (no more than 5) the item can give."
Itch,Regular; Resisted by HT,"Causes the subject to itch fiercely in a spot of the caster’s choice. The subject is at -2 DX until he takes one full second to scratch (more, if armor, etc. is in the way!). Only one Itch spell can affect a given subject at a time.",Until subject takes a turn to scratch.,2,,,,Hard,Body Control,"(a) Staff or wand; usable only by mages. The item must touch the victim.
Energy cost to create: 100.

(b) Any item; always on. The wearer itches constantly, and remains at -2 DX while item is worn.
Energy cost to create: 60."
Touch,Regular,"The subject feels a light touch at a spot of the caster’s choice. The touch is easily felt, even through armor, but has no effect other than to attract the subject’s attention; it cannot cause pain or discomfort, but it is very likely to distract him.",,1,,,,Hard,Body Control,"Staff, wand, or jewelry.
Energy cost to create: 50."
Perfume,Regular; Resisted by HT,"The subject smells strongly of any odor that the caster desires. The subject can detect the odor, but does not find it especially offensive (although his companions certainly might), regardless of its nature.",10 minutes,2,1,,Odor,Hard,Body Control,"Staff or wand. The item must touch the subject.
Energy cost to  create: 200."
Spasm,Regular; Resisted by HT,"Can be directed against any of the subject’s  voluntary muscles. Directed against a hand, it causes the subject to drop whatever he is holding (usually a weapon). If the subject is in the middle of a lengthy spell requiring gestures, he must make a DX roll or start over. Ingenious casters will find other uses . . .",Instant,2,,,Itch,Hard,Body Control,"(a) Staff or wand; usable only by mages. The item must touch the victim.
Energy cost to create: 300.

(b) Any item; always on. The wearer must roll vs. HT each time he does something delicate (e.g., pick a lock, cast a spell) or suffer a spasm as above.
Energy cost to create: 100."
Stop Spasm,Regular,"Stops any seizure the subject is undergoing. This works against epilepsy, vomiting fits, etc.",,1,,,Spasm or Lend Vitality,Hard,"Body Control, Healing","(a) Staff or wand, decorated in a snake pattern. Usable only by a mage or a nonmage with Physician-15 or higher.
Energy cost to create: 400.

(b) Any item. Always on. The item prevents its wearer from suffering seizures (grants a bonus of +5 when resisting Spasm).
Energy cost to create: 750."
Tickle,Regular; Resisted by Will,"The subject feels he is being tickled. If he does not resist, he is helpless with laughter, jerking about to try to escape from his invisible tormentor. This is a serious ticklefest; the victim is incapacitated as if by a seizure (see Incapacitating Conditions, p. B428). The subject must make a second Will roll if he tries to keep silent. High/Low Pain Threshold has no effect on the spell’s outcome. Unfazeable characters get a +5 bonus to their resistance roll.",1 minute,5,5 (Requires concentration),,Spasm,Hard,Body Control,"(a) Wand, staff, or feather. Usable only by mages; the item must touch the subject.
Energy cost to create: 600.

(b) Chair, cushion, or pillow. Always on. Anyone sitting in it is immediately “attacked” by the spell. A great practical joke.
Energy cost to create: 250."
Pain,Regular; Resisted by HT,"The subject feels a stab of agonizing pain. He must make a Will roll to avoid crying out. If he is in a precarious position (climbing, for instance), he must make a DX roll to avoid catastrophe! His DX and all DX-based skills are at -3 for the next second only. If the subject is in the middle of a spell requiring gestures, he must roll vs. Will or start over. High Pain Threshold gives +3 to the Will and DX rolls above; Low Pain Threshold gives -4.",1 second,2,,2 seconds,Spasm,Hard,Body Control,"(a) Staff or wand; usable only by mages. The item must touch the victim.
Energy cost to create: 400.

(b) Any item; always on. The wearer feels stabbing pain, as above, continuing until he makes a HT roll. The wearer can do nothing until he succeeds at the roll!
Energy cost to create: 300."
Clumsiness,Regular; Resisted by HT,The subject suffers -1 to his DX and DX-based skills for every point of energy put into the spell.,1 minute,1 to 5,Half,,Spasm,Hard,Body Control,"(a) Any item. Always on; reduces the wearer’s DX.
Energy cost to create: 100 for each point of DX reduction.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 800."
Hinder,Regular; Resisted by HT,The subject is at -1 to his Move and Dodge scores for every point of energy put into the spell.,1 minute,1 to 4,Half,,Clumsiness or Haste (p. 142),Hard,"Body Control, Movement","(a) Staff or wand. Usable only by mages; the item must be pointed at (but not necessarily touch) subject.
Energy cost to create: 600.

(b) Any item. Always on; reduces wearer’s Move score.
Energy cost to create: 200 for every 1-yard reduction in wearer’s Move."
Rooted Feet,Regular; Resisted by ST,"The subject’s feet are glued in place! He may try another resistance roll at -5 every turn, against the original spell skill roll, to break free. While the spell continues, the subject’s skill with any weapon except a ranged weapon is at -2 and his Dodge score is cut in half (round down).","1 minute, or until subject breaks free.",3,,,Hinder,Hard,Body Control,"(a) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 400.

(b) Any item. Always on; the wearer must make a (ST-5) roll every turn in order to move. A failed roll means he cannot move.
Energy cost to create: 600."
Tanglefoot,Regular; Resisted by DX,The subject trips and falls down.,Instant,2,,,Clumsiness,Hard,Body Control,"Staff or wand. Usable only by mages; the item must be pointed at (but not necessarily touching) the subject.
Energy cost to create: 600."
Roundabout,Regular; Resisted by HT,"Change the facing of a subject to any direction desired. This is not a teleport-in-place, but a physical spin. On the subject’s next turn, a roll vs. Body Sense or DX-6 is needed to take any action. If the subject moved 2 or more yards the previous turn, he must make an IQ roll to avoid continuing in the new direction.",Instant,3,,,Tanglefoot,Hard,Body Control,
Debility,Regular; Resisted by HT,"Reduces the subject’s ST temporarily. This will affect the subject’s basic damage with weapons, but not HP. It does affect encumbrance, but GMs are free to ignore this detail in the interest of playability.",1 minute,1 for every point of ST reduction (maximum 5).,Half,,,Hard,Body Control,"(a) Staff or wand. Usable only by mages; the item must be pointed at (but not necessarily touch) subject.
Energy cost to create: 900.

(b) Any item. Always on; reduces wearer’s ST.
Energy cost to create: 100 for every point by which wearer’s ST is reduced."
Frailty,Regular; Resisted by HT,"Lowers the subject’s HT temporarily. This affects all considerations that depend upon HT (Basic Speed, HT-based skills, poison and spell resistance, unconsciousness, death, etc.) except for those dependent upon FP, which is unaffected. The cost to cast is not reduced by high skill.",1 minute,2 per point of HT decrease (maximum 5).,Same,,Lend Energy,Hard,Body Control,"(a) Any. Always on; the wearer’s HT is lowered while the item is worn.
Energy cost to create: 200 per point of HT reduction.

(b) Staff or wand. Usable only by mages; the user must touch the subject.
Energy cost to create: 1,000."
Might,Regular,"Raises the subject’s ST temporarily. This affects damage, encumbrance, and hit points, but does not heal wounds. If, when the spell wears off, the subject’s wounds put him below -HT, he will have to make a HT roll to live. High skill does not reduce cost to cast this spell.",1 minute,2 for every point of ST increse (maximum of 5).,Same,,Lend Energy,Hard,Body Control,"(a) Any item. Always on; the wearer’s ST is raised while item is worn.
Energy cost to create: 1,500 per point of increase (maximum 5).

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 1,000."
Grace,Regular,"Raises the subject’s DX temporarily. His Basic Speed and ability with all DX-based skills are also raised. A caster can raise his own DX to increase his chances of hitting with missile spells, etc.",1 minute,4 for every point of DX increase (maximum of 5).,Same,,Clumsiness,Hard,Body Control,"(a) Any item. Always on; the wearer’s DX is raised while item is worn! This is a very rare item.
Energy cost to create: 2,000 per point of increase (maximum 5).

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,000."
Vigor,Regular,"Raises the subject’s HT temporarily. This affects his Basic Speed, FP, and ability to resist trauma and disease. A caster can raise his HT. If the subject’s FP when the spell wears off is below zero, he will immediately take 1 point of damage for every point of fatigue below zero, risking unconsciousness. High skill does not reduce cost to cast this spell.",1 minute,2 for every point of HT increase (maximum of 5).,Same,,Lend Vitality or Frailty,Hard,Body Control,"(a) Any item. Always on; the wearer’s HT is raised while item is worn.
Energy cost to create: 1,500 per point of increase (maximum 5).

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 1,000."
Boost (Attribute),Regular or Blocking,"This spell has four separate variants:
Boost Dexterity, Boost Health, Boost Intelligence, and Boost Strength. Each must be studied separately, but all four work identically.
This spell raises the subject’s attribute just long enough for a single die roll or short action – one Quick Contest, one attribute check, delivering a blow, readying a weapon, resisting a spell, throwing an object, etc. It cannot be used to increase a roll that represents several seconds of effort, such as a Regular Contest. The boosted attribute affects all secondary characteristics except HP and FP. High skill does not reduce the cost to cast this spell. Boost Intelligence is a Mind Control spell, not a Body Control spell.

Each variant has a different prerequisite:
Spell                         Prerequisite
Boost Dexterity        Grace
Boost Health            Vigor
Boost Strength         Might
Boost Intelligence    Wisdom",,1 for every point of attribute increase (maximum of 5).,,,See Description,Hard,Body Control,"Staff, wand, jewelry, or article of clothing.
Energy cost to create: 300."
Boost (Dexterity),Regular or Blocking,"This spell raises the subject’s Dexterity just long enough for a single die roll or short action – one Quick Contest, one attribute check, delivering a blow, readying a weapon, resisting a spell, throwing an object, etc. It cannot be used to increase a roll that represents several seconds of effort, such as a Regular Contest. The boosted attribute affects all secondary characteristics except HP and FP. High skill does not reduce the cost to cast this spell.",,1 for every point of attribute increase (maximum of 5).,,,Grace,Hard,Body Control,"Staff, wand, jewelry, or article of clothing.
Energy cost to create: 300."
Boost (Health),Regular or Blocking,"This spell raises the subject’s Health just long enough for a single die roll or short action – one Quick Contest, one attribute check, delivering a blow, readying a weapon, resisting a spell, throwing an object, etc. It cannot be used to increase a roll that represents several seconds of effort, such as a Regular Contest. The boosted attribute affects all secondary characteristics except HP and FP. High skill does not reduce the cost to cast this spell.",,1 for every point of attribute increase (maximum of 5).,,,Vigor,Hard,Body Control,"Staff, wand, jewelry, or article of clothing.
Energy cost to create: 300."
Boost (Strength),Regular or Blocking,"This spell raises the subject’s Strength just long enough for a single die roll or short action – one Quick Contest, one attribute check, delivering a blow, readying a weapon, resisting a spell, throwing an object, etc. It cannot be used to increase a roll that represents several seconds of effort, such as a Regular Contest. The boosted attribute affects all secondary characteristics except HP and FP. High skill does not reduce the cost to cast this spell.",,1 for every point of attribute increase (maximum of 5).,,,Might,Hard,Body Control,"Staff, wand, jewelry, or article of clothing.
Energy cost to create: 300."
Boost (Intelligence),Regular or Blocking,"This spell raises the subject’s Intelligence just long enough for a single die roll or short action – one Quick Contest, one attribute check, delivering a blow, readying a weapon, resisting a spell, throwing an object, etc. It cannot be used to increase a roll that represents several seconds of effort, such as a Regular Contest. The boosted attribute affects all secondary characteristics except HP and FP. High skill does not reduce the cost to cast this spell.",,1 for every point of attribute increase (maximum of 5).,,,Wisdom,Hard,Mind Control,"Staff, wand, jewelry, or article of clothing.
Energy cost to create: 300."
Stun,Regular; Resisted by HT,The subject is physically stunned (p. B420) and must roll vs. HT each second to recover.,,2,,,Pain,Hard,Body Control,"(a) Any item. Always on; the wearer is stunned until it is removed.
Energy cost to create: 500.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 1,100."
Nauseate,Regular; Resisted by HT,"The subject becomes nauseated (see Irritating Conditions, p. B428).",10 seconds,2,Same,,Perfume and at least one other Body Control spell.,Hard,Body Control,"Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 100."
Retch,Regular; Resisted by HT,"The subject loses his lunch, retching for (25-HT) seconds (see Incapacitating Conditions, p. B428).",,3,,4 seconds,Nauseate and Spasm,Hard,Body Control,"Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 100."
Fumble,Blocking; Resisted by DX,"The subject automatically fumbles the action he is taking. Regular range penalties apply. If the action is an attack or parry, roll on the Critical Miss Table. A fumbled dodge results in a fall, and a fumbled block unreadies the shield. If he was taking some other action (Move, Ready Weapon, etc), the GM should determine the result as he sees fit. “Mental” actions (concentration, speech, and so on) are unaffected, but a spell requiring body motions of some sort is affected!",,3,,,Clumsiness,Hard,Body Control,"(a) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 1,000.

(b) Jewelry. Always on; only affects the wearer. The wearer keeps fumbling!
Energy cost to create: 1,500."
Strike Dumb,Regular; Resisted by HT,The subject cannot speak. This makes it impossible to cast any spell that requires speaking (p. 8).,10 seconds,3,1,,Spasm,Hard,Body Control,"(a) Any item. Always on; the wearer cannot speak.
Energy cost to create: 500.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,500."
Strike Blind,Regular; Resisted by HT,"The subject is temporarily blinded. See Blindness, p. B124, for a full description of the effects; the most important is that he is at -10 to attack anyone physically, and cannot see to target spells.",10 seconds,4,2,,Spasm and at least two Light and Darkness spells.,Hard,Body Control,"(a) Any item. Always on; the wearer is blinded.
Energy cost to create: 500.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,000."
Strike Deaf,Regular; Resisted by HT,The subject is temporarily deafened.,10 seconds,3,1,,Spasm and at least two Sounds spells.,Hard,Body Control,"(a) Any item. Always on; the wearer is deafened.
Energy cost to create: 400.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 1,000."
Hunger,Regular; Resisted by HT,"Inflicts 1 FP of starvation damage, equivalent to a single missed meal. Fatigue taken in this fashion can only be recovered by a day of rest and adequate nourishment (see Starvation, p. B426).",,2,,5 seconds,"Magery 1, Debility, and Decay",Hard,"Body Control, Food","Staff, wand, or jewelry. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,000."
Thirst,Regular; Resisted by HT,"Inflicts 4 FP and 1 HP of dehydration damage, equivalent to a full day without water. Dehydration fatigue may be recovered in full with a full day’s rest and plentiful water (see Dehydration, p. B426). HP damage heals normally. Repeated castings may render the subject nearly unable to speak, because his throat will be parched and his tongue swollen.",,5,,10 seconds,"Magery 1, Debility, and Destroy Water (p. 185).",Hard,"Body Control, Food","Staff, wand, or jewelry. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,000."
Resist Pain,Regular,"The subject becomes temporarily impervious to pain. He may ignore Spasm and other pain-causing spells. He cannot be stunned in combat, and does not suffer a shock penalty when he is wounded or slow down when his HT is reduced to 3. However, he does not gain any actual resistance to injury – only to the pain it causes.",1 minute,4,2,,Magery 2 and Pain,Hard,Body Control,"Any item; only affects the wearer.
Energy cost to create: 800."
Hold Breath,Regular,"Temporarily eliminates the caster’s need for air, as if he had Doesn’t Breathe (p. B49). He could thus stay underwater, or in a room full of poison gas, without trouble. This spell does not actually provide air; it simply delays suffocation while the caster seeks (or creates) a safer environment. This spell does not supply pressure support against vacuum or deep sea pressure.",1 minute,4,2,,Magery 1 and Vigor,Hard,Body Control,"Wand, staff, or jewelry.
Energy cost to create: 900."
Ambidexterity,Regular,Subject gains Ambidexterity (p. B39) for the duration of the spell. The spell has no effect on beings that already have the advantage. It also only affects a single pair of limbs; beings with more than two limbs require multiple castings of the spell.,1 minute,3,2,,Grace,Hard,Body Control,"(a) Any. Always on; the wearer becomes ambidextrous. A rare item!
Energy cost to create: 1,500.

(b) Staff or wand. Usable only by mages.
Energy cost to create: 500."
Balance,Regular,The subject gains Perfect Balance (p. B74) for the duration of the spell. It has no effect on beings that already possess this advantage.,1 minute,5,3,,Grace,Hard,Body Control,"(a) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 300.

(b) Jewelry or headgear. Always on; affects only the wearer.
Energy cost to create: 750."
Reflexes,Regular,The subject gains Combat Reflexes (p. B43) for the duration of the spell. The spell has no effect on beings that already have the advantage.,1 minute,5,3,,Grace and Haste,Hard,Body Control,"(a) Any item. Always on; the wearer gains the Combat Reflexes advantage. Rare item!
Energy cost to create: 1,200.

(b) Staff or wand. Usable only by mages.
Energy cost to create: 800."
Cadence,Regular,"Doubles the rate of production of crafted items by both hastening the craftsman’s movements and making them surer, eliminating wasted strokes. Any use of a skill that creates or improves a handmade object can be assisted by this spell; magical craft work (such as scroll writing or enchantment) cannot.

The spell costs the subject an equal amount of energy every hour, unless it is the caster himself.",1 hour. The spell is broken if the subject interrupts his work.,5,3,10 seconds,Grace and Haste,Hard,Body Control,"Tool. Energy cost to create: 1,000."
Hair Growth,Regular; Resisted by HT,"Causes the subject’s hair and nails to grow at a million times the usual rate (meaning an inch of hair every five seconds and an inch of nails every 30 seconds). If left unchecked, such growth interferes with vision (as hair falls in the eyes), movement (as the subject trips on his beard) and handling ability (as nails get in the way). Some bald people appreciate this spell, while it lasts (baldness returns within about a month as the hair falls out naturally).",5 seconds,1,1,,At least five Body Control spells.,Hard,Body Control,"(a) Any item; always on. Hair starts growing an hour after the item is put on and grows for an hour after the item is taken off.
Energy cost to create: 100.

(b) Staff or wand. The item must touch the subject.
Energy cost to create: 250."
Haircut,Regular; Resisted by HT,"Trims the subject’s hair (beard, mustache, fur, etc.) as the caster sees fit. To determine the aesthetic quality of the job, roll against Barber skill (a DX/Average Professional Skill). Can also be used to shear sheep, pluck chickens, or to trim the subject’s nails. The spell will not blunt the subject’s claws or horns (although it may give them a manicure).",Instant,2,,2 seconds,Hair Growth,Hard,Body Control,"(a) The effect may be made permanent (preventing hair from growing back) for 10 times casting cost.

(b) Headgear. The item trims the hair of whoever puts it on, to the style specified by the creator.
Energy cost to create: 150.

(c) Staff or wand.
Energy cost to create: 300."
Sensitize,Regular; Resisted by HT,"The subject becomes extremely sensitive to pain, gaining the Low Pain Threshold disadvantage (p. B142). The spell does not affect characters that already have the disadvantage.",1 minute,3,2,,Magery 1 and Stun,Hard,Body Control,"(a) Any. Always on; only affects the wearer.
Energy cost to create: 300.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 400."
Agonize,Regular; Resisted by HT,"Magnifies the subject’s sense of touch to painful levels: a gentle touch feels like a blow, someone else’s breath feels like a scorching flame, a cool breeze feels like a freezing blast. Even the contact of his own clothes becomes unbearable; the subject feels like his skin is being scraped raw. He is rendered helpless with agony (see Incapacitating Conditions, p. B428).",1 minute,8,6,,Magery 2 and Sensitize,Hard,Body Control,"(a) Any. Always on; only affects the wearer.
Energy cost to create: 500.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 800."
Weaken Blood,Regular; Resisted by HT,The subject acquires Hemophilia for the duration of the spell. All wounds will cause severe bleeding.,1 day,9,5,,Sickness or Steal Vitality,Hard,"Body Control, Necromantic","Any item; always on. The wearer is a hemophiliac!
Energy cost to create: 200. (Usually combined with Hex.)"
Strike Numb,Regular; Resisted by HT,"The subject temporarily loses all sense of touch, as per the Numb disadvantage (p. B146). This includes the effects of the Resist Pain spell, so it is sometimes a blessing in disguise. The subject does not feel blows (beyond a jolt), does not feel a pickpocket going through his possessions, does not feel the heat of the stove top he is leaning on . . . If the caster desires, the spell can selectively numb the subject (numbing only the arms, for instance).",10 seconds,3,1,,Resist Pain,Hard,Body Control,"(a) Any. Always on; only affects the wearer.
Energy cost to create: 300.

(b) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 800."
